"id";"title";"location";"camera";"mode";"date";"time";"photo";"utime"
"1";"Butterfly ";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-08-25";"16:23:00";"IMG_20171013_221206_460.jpg";"2017-10-15 13:13:04"
"2";"Butterfly ";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2016-04-02";"11:34:00";"IMG_20171013_221303_102.jpg";"2017-10-15 13:14:00"
"3";"Orange garden";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-09-02";"10:22:00";"IMG_20171013_221427_055.jpg";"2017-10-15 13:15:08"
"4";"Insect";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-09-02";"17:01:00";"IMG_20171013_221652_803.jpg";"2017-10-15 13:15:49"
"5";"Mountain";"Bodak, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2016-03-01";"16:29:00";"IMG_20171013_221811_942.jpg";"2017-10-15 13:17:17"
"6";"Flower";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-08-25";"14:37:00";"IMG_20171013_221926_044.jpg";"2017-10-15 13:18:33"
"7";"Fiery Sky";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-07-15";"17:01:00";"IMG_20171013_222012_101.jpg";"2017-10-15 13:20:43"
"8";"Insect";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-08-25";"18:30:00";"IMG_20171013_222120_116.jpg";"2017-10-15 13:20:21"
"9";"Butterfly ";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2014-06-26";"13:56:00";"IMG_20171013_222253_056.jpg";"2017-10-15 13:22:35"
"10";"Insect";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-09-02";"14:37:00";"IMG_20171013_222344_863.jpg";"2017-10-15 13:24:31"
"11";"Trip";"Bodak, Arunachal Pradesh";"Sony_Dsc_W210 ";;"0000-00-00";"14:01:00";"IMG_20171013_222452_341.jpg";"2017-10-15 13:26:57"
"12";"View";"Itanagar, Arunachal Pradesh";"Sony_Dsc_W210 ";;"0000-00-00";"11:34:00";"IMG_20171013_222757_868.jpg";"2017-10-15 13:28:55"
"13";"Gompa (Buddha Mandir)";"Itanagar, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2016-04-02";"16:23:00";"IMG_20171013_222901_409.jpg";"2017-10-15 13:32:20"
"14";"Bee";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2016-01-06";"10:09:00";"IMG_20171013_223016_822.jpg";"2017-10-15 13:34:09"
"15";"Flower induction";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2014-08-16";"07:49:00";"IMG_20171013_223107_975.jpg";"2017-10-15 13:37:35"
"16";"Pink";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2016-01-28";"08:36:00";"IMG_20171013_223206_987.jpg";"2017-10-15 13:39:08"
"17";"Shoot";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2014-07-29";"17:01:00";"IMG_20171013_223254_595.jpg";"2017-10-15 13:40:29"
"18";"On an adventure ";"Koyu, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2013-07-23";"14:24:00";"IMG_20171013_223432_851.jpg";"2017-10-15 13:42:46"
"19";"Pearl";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-09-02";"13:22:00";"IMG_20171013_223359_534.jpg";"2017-10-15 13:43:56"
"20";"Carpenter Bee";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-04-06";"09:50:00";"IMG_20171013_223548_763.jpg";"2017-10-15 13:46:20"
"21";"Bliss";"Bodak, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-09-02";"14:37:00";"IMG_20171014_093535_509.jpg";"2017-10-15 13:47:39"
"22";"Sibo korong";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2013-07-06";"14:30:00";"IMG_20171014_093628_670.jpg";"2017-10-15 13:49:33"
"23";"The way to heaven";"Bodak, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2016-03-04";"15:04:00";"IMG_20171014_093853_845.jpg";"2017-10-15 13:51:10"
"24";"Two little cute things â¤";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-09-19";"12:49:00";"IMG_20171014_093750_381.jpg";"2017-10-15 13:53:05"
"25";"Flower";"Pasighat, Arunachal Pradesh";"Sony_Dsc_W210 ";;"2015-08-25";"16:23:00";"IMG_20171014_093953_252.jpg";"2017-10-15 13:54:39"
